short_descriptions,priority
unable to open,MEDIUM
sap access for nikita bannikov,MEDIUM
error when validating paid child care leave,LOW
nf on the gear,LOW
sasikanth godavarty otsuka us com re assignment reminder,MEDIUM
jabber phone services phone services not connected,LOW
bitlocker need bitlocker key to unlock my pc,MEDIUM
team please create a home directory for service account pmonscop srvgbl pmonscop over servers,LOW
cloud instance unreachable,HIGH
new ipad setup,MEDIUM
nl email request for email alias to be created on account,LOW
sf support ticket ept tool upload site product qty not populating,LOW
it corner concierge,LOW
i had a phishing attempt on my email i reported it but had accidentally clicked the link before reporting do i need to do anything,HIGH
extranet portal platform qa is inaccessible along with sc portal qa,MEDIUM
fnokia support portal user daniel kerschen sacw com getting error sso – user can not be created,LOW
user stephen blake sacw com cqt role has already enabled but can t able to access,LOW
spc quality monitoring,MEDIUM
hu user switch hu,MEDIUM
actuals of wbs g hasn t been transferred to,LOW
gr whitelist domain,MEDIUM
it corner concierge,LOW
it corner concierge,LOW
user felix ubieraruiz alticeusa com getting sso error while login,LOW
user is attemping to split screen ipad researching,MEDIUM
invoices not flowing to sf from sap,MEDIUM
volume stuck in creating state,LOW
in lan connection issue,LOW
rebooting ipad javelin code,MEDIUM
feed transfer from fdi to ctms today,LOW
network password reset,MEDIUM
cisco anyconnect application failure passcode processing failure,LOW
connection to emea nsn net net fails,MEDIUM
unable to boot up computer error stop in psmain error code,LOW
hardware laptop touchpad not working,LOW
lack wbs for,LOW
vpn failed to load preferences,LOW
create sac user,MEDIUM
hvd virtual desktop not opening,MEDIUM
hp printing pages comes out dirty in colored ink,LOW
gerrit slowness issue,HIGH
it unlock airwatch account,CRITICAL
p nun nokia http upload suspicious data size,MEDIUM
windows how to reinstall windows pc with onsite support,LOW
check why the day in ph calendar for china has been defined spring festival switch that is to say it is a working day but no quota deduction,MEDIUM
unable to submit request for install pc,LOW
cz position change pr release strategy,CRITICAL
it corner concierge,LOW
please provide full control for group of owners,MEDIUM
jabber login unable to login to jabber,LOW
add user to unix group,LOW
rsa not installed,LOW
ba assign role,MEDIUM
unable to sign into elearn on ipad,MEDIUM
mailbox client issue unable to receive emails,LOW
amer pfizer com down intel vm guest,HIGH
request incorrect incomplete fulfillment of service request,LOW
be cannot login on server through ssh this is a linux server,HIGH
wms auto to for gr stocks,MEDIUM
pfizer com cpqheflttolpowersupply intel,HIGH
married name change kristianne weaver,MEDIUM
p nun nokia multiple failed login attempts with not existing privileged account,MEDIUM
ms office activation request,LOW
unable to access folder on ms team,LOW
p nun nokia excessive activity detected from ip in honeypot,MEDIUM
it corner concierge,LOW
workstation hdmi port is not working,LOW
ibm support request idoc issue,MEDIUM
cannot add a power bi add on to powerpoint,LOW
electrical substation preventive maintenance nokia puc curitiba brazil,HIGH
request for assistance,MEDIUM
the user is calling stating that they need an active directory account unlock,MEDIUM
international movement inside cch termination,MEDIUM
office office online package is not activated,LOW
unlock user access,CRITICAL
re important avisso planned downtime,MEDIUM
user need a new sap portal password,MEDIUM
need to connect with wifi in phone,MEDIUM
i cant access my jira project tds in this istance,MEDIUM
hu new bin structures,MEDIUM
jabber no calls possible,LOW
vpc getting grey screen,MEDIUM
cisco vpn no valid certificate,LOW
cares unable to login to cares external web or remedy client,LOW
caser unplanned outage,LOW
hardware screen broken saadatu rumah lawal,MEDIUM
hardware physical damage laptop is overheating,LOW
shows an error related to invalid session when creating new pages,MEDIUM
cares error arerr authentication failed,MEDIUM
emea pfizer com cpqclusternetwork intel,HIGH
swip server abnormal or network unstable issue refer,MEDIUM
it corner concierge,LOW
hardware faulty keyboard,LOW
ae software center installation stuck,MEDIUM
rs sap roles remove,MEDIUM
integra tool access required,LOW
pl assign access,MEDIUM
hp printing produces a line down the middle of the page when copying or scanning,MEDIUM
fw jane solomon cw otsuka us com wants to access covid information,MEDIUM
sa mfa authentication issue,LOW
unable to change access of sql database in ms flow connections,LOW
software fmo several laptop os crashes occured office tools are disabled,MEDIUM
it corner concierge,LOW
monitor is not working,MEDIUM
lock user in the system idm lock on behalf of line manager,CRITICAL
ms teams training,MEDIUM
sap access for evgeniya dubovitskaya polina litvinova,MEDIUM
siteforge other issues,LOW
need information about onedrive sharing,MEDIUM
p nun nokia soar security risk found on host,MEDIUM
rp nsa unix request,LOW
unable to join microsoft team meeting,MEDIUM
leave update issue,LOW
please grant access to verint to anna volkova,MEDIUM
missing software in software center,LOW
need multipath information esx,MEDIUM
dp issue three strike failures for amer bs gp ct no backup,HIGH
cpu load on my laptop is keeps very high some times nearly,LOW
hungary sales re routing derivations,MEDIUM
pfizer com process the xntpd process has stopped escalate asap solaris branded zone,LOW
qc is not getting refreshed in eept,MEDIUM
hardware lack access to my laptop due to keyboard failure,LOW
office outlook application not receiving latest emails,LOW
bdaa derivation update,MEDIUM
errors in zefilog transaction of ecq,HIGH
mailbox unable to save invitation,LOW
re j drive access,MEDIUM
untrusted server error when connecting to vpn,LOW
robot error in grouping,LOW
oneclickmeeting room finder is not visible in outlook,LOW
re required to add otss member in trackwise dl,MEDIUM
anyconnect certificate validation failure error,LOW
synergy login error,MEDIUM
my computer workstation,LOW
netwrix auditor inactive users in active directory report mocr otsuka com,MEDIUM
software missing related request no,LOW
unable to connect to vpn certificate validation failure,MEDIUM
wbs company code error,LOW
vpn certificate validation failure,LOW
issue in edoc for invoices with local hungarian vat to be reported to the tax authority,LOW
sap access for test users vision picking,CRITICAL
software fmo cannot mount a linux drive unto windows pc,LOW
fw your account has been used to make purchases in itunes,MEDIUM
sonarqube user is always failed to login the nsn intra authentication site,LOW
adding ram memory to my computer workstation,LOW
issue beyond compare application installation,LOW
confluence not available,LOW
no internet access,MEDIUM
access denied on internal job market,LOW
please reset mfa for users account tatiana sigutina cchellenic com,MEDIUM
shipping label request,MEDIUM
in fixed voice create a service request to activate isd did facility,LOW
gq edms user access request new account request sinha prashant prashant,MEDIUM
cannot manage users access rights,LOW
user esteban palominomonge telefonica com unable to access cares,LOW
hp printing paperjam issue,LOW
srm not working,LOW
unable to verify my completed learning,MEDIUM
cannot delete stack on user ips,MEDIUM
vpn remote access cannot configure authenticator,MEDIUM
no bp maintained error for employees,LOW
nsn account active in idm but disabled in ad,LOW
concur expense report,MEDIUM
it corner concierge,LOW
msps problem with project field on risk list,MEDIUM
po sto update wf process did not complete,LOW
it corner concierge,LOW
sd no info unable to reach multiple websites via lan cable network,MEDIUM
sap access for svetlana ext sidorova,MEDIUM
my computer workstation,LOW
software fmo unable to install pc nokia image could not be installed,LOW
brazilian billing invoice blocked,LOW
pfizer com logmonitor unix linux networking errors escalate and investigate issues asap unix syslog pfeunix networking errors linux,HIGH
mulgrave two drives down,MEDIUM
computer s information is top of my screen s upper right corner,LOW
p nun nokia proactive recurrent reinfection,MEDIUM
onedrive not syncing,MEDIUM
it corner concierge,LOW
virtual pc incident outlook issue,LOW
jabber login cisco jabber sign in problem,LOW
os installation for new employ ticket created manually due to covid,LOW
ldap nsn intra net is not working,HIGH
elearn on ipad,MEDIUM
nra cisco anyconnect vpn the vpn connection failed due to unsuccessful domain name resolution,LOW
software fmo data missing after re signing it as windows directed,LOW
re not able to access the training materials,MEDIUM
the access to secondary account not available user management account management,LOW
hr incorrect hr action,CRITICAL
pl access granting,CRITICAL
jabber other mobile phone icon show all the time,LOW
assist for sharepoint site design,LOW
jabber other unable to start meeting on jabber,LOW
it corner concierge,LOW
facing issue in invoice,LOW
hu dispute approver team role,CRITICAL
cannot access windows persistent hvd,LOW
new portal search are not working compared to old portal,LOW
it corner concierge,LOW
it corner concierge,LOW
provide cisco anyconnect certs,CRITICAL
webex meeting center cannot use the selected camera during meetings,LOW
it corner concierge,LOW
fnokia ebus change sus name of team talk ltd to vital limited,MEDIUM
gr issue with stos from apo to,CRITICAL
access to support portal deactivated,LOW
user jorge castanor claro com co user facing login issue password reset request,LOW
hardware external monitor is not working,LOW
no sat monitoring,LOW
nsn intra network account,MEDIUM
fnokia support portal user willem meyer vodacom co za unable to access case handling,LOW
pc installation request stuck on approved status,LOW
difference in actual cost from,LOW
p nun nokia security risk found on host,MEDIUM
please run root sh script on server,LOW
unable to access executive viewer http inside nsn com evweb evweb htm,LOW
software center missing idm ultraedit,LOW
request incomplete fulfillment of service request,LOW
amer pfizer com cpqdadrvstatuschange intel,HIGH
nokia support portal sso error,MEDIUM
rs volume load form release plan to bps za in ref,CRITICAL
data coming null in creator field of smp,MEDIUM
unable to access lucent com groups ams l lawpublic completed,LOW
po stuck in ordering,LOW
coin wbs reviewer change,CRITICAL
elearn on ipad,MEDIUM
it corner concierge,LOW
can not delete vendor from,LOW
it corner concierge,LOW
at out of office note for a former employee,MEDIUM
it corner concierge,LOW
jira groups not in effect in my profile,LOW
material oee on output,LOW
teams dial in feature to be activated for all project team members,MEDIUM
unable to access to vnc viewer,LOW
has been fully approved not sent to supplier,LOW
p nun nokia exploit multiple exploit types against single destination,MEDIUM
unable to login to gerrit https gerrit ext net nokia com gerrit,MEDIUM
emea pfizer com cpqheflttolpowersupply intel,HIGH
printer not installing,MEDIUM
ee gerrit can t login jira gerrit,LOW
unable to log in to pc trust relationship error,MEDIUM
data center incidents and requests,LOW
verify for e learning trainings,MEDIUM
question about making a skype phone call,MEDIUM
the image source for wtf images are not seen while creating instance,MEDIUM
p nun nokia ssl exploit detect from host,MEDIUM
it corner concierge,LOW
unable to print using follow me print spool from assigned hdv machine,LOW
it corner concierge,LOW
my computer workstation,LOW
assistance to connect the laptop to nokia lan cable,MEDIUM
amer pfizer com cpqclusterresource intel,HIGH
sap login pad issue,LOW
hr access to servicenow,MEDIUM
ru ap configure,MEDIUM
re hvd login issue,LOW
it corner concierge,LOW
wrong support offering in power bi report,LOW
error messages while changing cbl or eac,LOW
unlock external user,CRITICAL
hardware integrated laptop keyboard is not working or some keys are not working,LOW
user account ・is locked out frequently,MEDIUM
microsoft edge redirected too many times on sso page for multiple sites,LOW
webex event center disabled recordings,LOW
user mervi arisalo elisa fi has deleted in nols,LOW
outlook your mailbox is almost full message,LOW
mc webex mobile app mobile phone connects to webex uses the internet to access audio others can t hear you,LOW
spi output for payroll,LOW
jabber unable to connect with the phone,LOW
hardware no access to nosi or network or wifi,LOW
hi want to install docker desktop on hvd,LOW
in oracle vm invalid settings detected,LOW
creo unable to open,LOW
hcp amy hough has the wrong name in ingenius,MEDIUM
webex users come and go from audio sessions,LOW
cannot access to support portal web,LOW
sap launch pad isn t working,MEDIUM
p nun nokia system device has stopped sending events offense generation,MEDIUM
sap accounts creation,MEDIUM
activate inv for partner varanavicienes im,MEDIUM
it corner concierge,LOW
could not access qc,LOW
it corner concierge,LOW
oss ticket open connection to and assign user to connection,MEDIUM
access to s wp review csr pkd opc,MEDIUM
password reset for,MEDIUM
confluence is way too slow,MEDIUM
set up of gl accounts for exchange rate differences cc,CRITICAL
deleted file in storage still occupies space,HIGH
unable to authenticate to login to webex,LOW
re your incident has been registered,MEDIUM
hu cic agent need to add to some reports in cti for a team leader,MEDIUM
unable to access elearn on ipad,MEDIUM
my computer constatly loses wifi connection and reboots,LOW
support portal oleg b morozov sibir rt ru account issue,LOW
jabber – phone services connection to phone service failed,LOW
tca ready flag error,LOW
mfa login to cisco anyconnect,LOW
unable to uninstall cisco anyconnect from software center,LOW
p nun nokia single infection single host virus clean failed symantec,MEDIUM
gpv account change,MEDIUM
reporting layer non retail account rockmed ltc pharmacy please assign it to comm orion,MEDIUM
hr assign sap roles,MEDIUM
mfa microsoft authenticator error,LOW
p nun nokia authentication repeat windows login failures,MEDIUM
srm po approval notification,LOW
role request in i buy,LOW
no intranet connection lan and wlan,HIGH
sac access and content creator role,MEDIUM
office outlook office outlook stop receiving emails for the past hours,MEDIUM
un updated bank statement file on usr sap interfaces swift ecp,LOW
emea region hvd’s are responding slowly,HIGH
issues accessing elearn,MEDIUM
no acces to partner portal,LOW
incorrect quantity planned capured bi,MEDIUM
user request assistance with wifi ssid pwd access,MEDIUM
pl cti user creation,MEDIUM
re beware of fake zoom installers that infects computers with webmonitor remote access trojan rat,MEDIUM
it corner concierge,LOW
sbm tool magic table remove,LOW
third party tunnel between nokia and ericsson labs is down,MEDIUM
kristen ruocco cw otsuka us com cw portal upload,MEDIUM
re approval request master list,MEDIUM
moinodin shaikh cw otsuka us com fw unable to edit adi log in sharepoint,MEDIUM
hp printing printers not functional,LOW
dp issue failures for emea bs gp directskipdb ct,HIGH
gr assign license,CRITICAL
microsoft active directory account disable,MEDIUM
issues with office products on surfacebook,MEDIUM
it corner concierge,LOW
unable to install sap gui,MEDIUM
bmc remedy unable to access the server,LOW
mytelecomservices request follow up,LOW
qtc aggrregates are not running in edw,HIGH
deployment has failed for,MEDIUM
ultima acces granted but pronto tool still unavailable,LOW
ng pc request completed but still local admin right not granted,LOW
pl new user,CRITICAL
re email id change urgent anne santovito overdue training elearn,MEDIUM
please reset mfa for users account denis yakovlev cchellenic com,MEDIUM
user jessica evans centurylink com not able submit cares requests getting error failed to create,LOW
request for a distribution list to be created,MEDIUM
muda rename for,CRITICAL
issues with getting into skype,MEDIUM
at blacklist email sender,MEDIUM
slowness while accessing servers and,HIGH
ssh port of gerrit master not responding properly,HIGH
tracey carter cw otsuka us com action required unsuccessful contingent worker portal onboarding,MEDIUM
marcoussis lsf rtm not showing graphs for hosts,LOW
it corner concierge,LOW
functional mailbox request to re enable,LOW
p nun nokia single infection single host virus clean failed symantec,MEDIUM
wrong vendor number,LOW
jabber phone services unable to make phone calls,LOW
pfizer com down intel,HIGH
it corner concierge,LOW
hardware battery faulty,LOW
cannot log in to acos alcatel lucent com,LOW
returning of ticket,MEDIUM
software fmo pxe error,MEDIUM
trust relationship issue,LOW
unable to open formatted excel file with qc log add in,MEDIUM
office licnese keeps on reverting to repeatedly,LOW
amer pfizer com cpqclusternode intel,HIGH
elearn modules for poa not appearing,MEDIUM
it corner concierge,LOW
please change rs for fip cc,MEDIUM
jeddah plant vendor maintenance on wan links,LOW
p nun nokia soar security risk found on host,MEDIUM
can t clone files by git lfs on emea nsn net net,LOW
office outlook unable to login to outlook client the code execution cannot proceed because dll was not found,LOW
it corner concierge,LOW
business role correction sergey reshetnikov,MEDIUM
alliance locked for export after creation in erp,LOW
grant access in coin,MEDIUM
no escalation from for jira pssfield project,LOW
unable to login into cwp portal,MEDIUM
nesc cloud instance can t be connected,MEDIUM
user rolly maghirang kordia co nz getting sso error – you cannot associate a contact with non le,LOW
wrong dates in schedules,LOW
p nun nokia system device has stopped sending events offense generation,MEDIUM
delete personal number from cornerstone,MEDIUM
please create new shared maibox,MEDIUM
err too many redirects,LOW
packets lost detected to reach vm located on,LOW
can t access elearn training,MEDIUM
cz delete contracts in cms,CRITICAL
please help us investigate why the confirmation is in error in process status,LOW
integra is in maintenance mode due technical isssue once it for days,LOW
vendor must be set error in ariba i buy,LOW
it corner concierge,LOW
mc enable recording unable to record,LOW
it corner concierge,LOW
change of the sharepoint access group,LOW
p nun nokia security risk found on host proactive recurrent reinfection,MEDIUM
fnokia hosted virtual desktop hvd unable to launch,MEDIUM
need adobe acrobat pro in laptop,MEDIUM
account cannot log into acos any longer,MEDIUM
access to query,CRITICAL
ng configure access points to broadcast i net ssid in maiduguri,CRITICAL
it corner concierge,LOW
local admin rights,LOW
pfizer com logmonitor flasharchive failure escalate and investigate issues asap unix log pfizer flasharchive pfeunix flasharchive errors unix,LOW
pfizer com cpqnic intel vm host,HIGH
open file in excel,MEDIUM
acces for joni paloniemi nokia com,LOW
bmc remedy full access,MEDIUM
plcm vmfg sap me inventory id prompt already exists,LOW
report url does not work from time to time,LOW
it corner concierge,LOW
mfa received multiple calls to authenticate and login fails,LOW
tell sell cti,MEDIUM
software center how to repair or re install software,LOW
mfa invalid credentials help to update microsoft profile after new sim,MEDIUM
it corner concierge,LOW
fan is not working,LOW
p nun nokia authentication repeat windows login failures,MEDIUM
mfa issue in installation of microsoft authenticator in phone,LOW
new user credential request,MEDIUM
issue with greatbear uk beauty,LOW
saudi arabia unable to cancel the line item s pos,LOW
please extract me a report,MEDIUM
at pc software installation not progressing in software center stuck at for long time,LOW
it corner concierge,LOW
outlook security issue,LOW
cannot connect to vpn error login failed mfa account working fine,LOW
can t login to cares,MEDIUM
issue with ipad microphone,MEDIUM
software related bluetooth laser mouse faulty,MEDIUM
narendar kothakapu cw otsuka us com receives invalid credentials when logging into citrix,MEDIUM
dp issue failures for amer bs gp ct,HIGH
vnc client opening is very slow,LOW
missing updated gpma data,MEDIUM
gs bg pi’s are still being tagged to nsw bu and bl,MEDIUM
new ipad orion no data,MEDIUM
it corner concierge,LOW
user gmail com – repeating password issue,LOW
software fmo get the following messages sc notification and appvstreamingux,LOW
outlook instant search search option involving a shared mailbox,LOW
missing address information in ingenius online,MEDIUM
please join the go no go and opertional dr meeting for empower pgs empower amer production,LOW
add role in q systems,CRITICAL
jabber phone services not working since february,LOW
office application fails to start outlook and office suite not starting,MEDIUM
guest users must not be visible in delve but they are,LOW
anyconnect slow connection or performance issues,LOW
zintramic import destination country selection not working,LOW
detection error on storage device main hdd,LOW
it corner concierge,LOW
sap access for darina ext ivanova,CRITICAL
wrequest issue shared drive details,LOW
assign to comm atlas ingenius update name for digit id,MEDIUM
it corner concierge,LOW
infinite sow for feb gcc dxmon resources engagement plan,LOW
microsoft edge automatically sets as a default app for browser and pdf files,LOW
internet explorer unauthorized error when downloading files from https nokia ignoto novumip com,LOW
no fresh data available in queries last data available is from march,MEDIUM
ibuy account configuration,LOW
p nun nokia soar security risk found on host,MEDIUM
issue uploading a document from onedrive to a party website,MEDIUM
missing condition zman,MEDIUM
setting up new laptop,MEDIUM
it corner concierge,LOW
p nun nokia soar security risk found on host,MEDIUM
mfa sign in request approval but for some reason i do not receive any call,LOW
fyi phishing attempt,HIGH
office outlook check language always changes back to hungarian,LOW
disk full rumosxaps citrix home,MEDIUM
mailbox client issue co outlook unable to send receive emails,LOW
access to transaction migo,MEDIUM
team field is missing for all the issue types except for epic this is needed for portfolio,MEDIUM
nosi certificate lost,LOW
ch release existing ip reservations scope vals,MEDIUM
unable to fill erm,LOW
unable to assign change ticket to self,LOW
red team training new ipad not turning on,MEDIUM
active directory and citrix,MEDIUM
remove unix access for abema,LOW
cz lyreco catalog,MEDIUM
emea pfizer com down intel,HIGH
nokiameetings mc use case selected,LOW
naip interface error,LOW
sandbox login issue,MEDIUM
active directory and citrix,MEDIUM
bg transfer newly unblocked code to mes,CRITICAL
cost centre changes made in bpp blue planet production not interfaced into,LOW
hdmi no sound after connecting computer to monitor,MEDIUM
add telefonica ecuador to clics your ticket has been solved,LOW
files not accessible in hvd,MEDIUM
sap access for tatyana filippova,MEDIUM
missing roles for employees in sap,MEDIUM
at shared mailbox access,MEDIUM
cpu load every day after startup until reboot,MEDIUM
it corner concierge,LOW
nokia byod mobile phone wifi access problem,LOW
p nun nokia exploit multiple exploit types against single destination,MEDIUM
rs new route,MEDIUM
rs role assignment for transaction,MEDIUM
missing e mail supplier hielkema services and calibration,LOW
not possible to authenticate on phone services,LOW
my computer workstation,MEDIUM
mc enable recording webex recording not available,LOW
re routing serbia,CRITICAL
sap bpp invoice images error,LOW
sharepoint site support request https nokia sharepoint com sites apjgsc,LOW
issue with open text windows imaging viewer software,LOW
pc is not power on,LOW
double entries in supplier api sbm in edp production,MEDIUM
gr sap hr access,CRITICAL
it corner concierge,LOW
eac layout with blank content,MEDIUM
not able to load project cube internet explorer blocked this website from installing an active x control error issue,LOW
rp nsa unix request,LOW
missing number ranges,MEDIUM
rename of a category,MEDIUM
gr assign access on bpms,CRITICAL
hcp sample signature error message,MEDIUM
kindly reprocess missing messages log dc posted for the wo,LOW
hvd non persistent request not available,LOW
cannot connect to libraries edm,LOW
it corner concierge,LOW
gr access to sac,CRITICAL
software center application list is missing applications,MEDIUM
unable to delete draft version of approved test case from test plan,LOW
get an error when click approved and reject button in view,LOW
at servicehotline virtual sales workhours,MEDIUM
the mentioned user account needs to be corrected in sp backend,LOW
unable to access support portal,LOW
need assist from local onsite team to install pc,LOW
can t assign me to the tasks in jira,LOW
cannot access bmd remedy,LOW
issue completing things in trialhub,MEDIUM
red team training ipad set up,MEDIUM
pfizer com cpqdadrvstatuschange intel,HIGH
setting up jira ontrak for project use,MEDIUM
please copy today data to target cobra cubes,MEDIUM
extremely slow connection speed between oulu and espoo,HIGH
distribution list update opdc clinical management leadership,MEDIUM
user can t access confluence pages,LOW
wpa unable to access,LOW
contract import is failing while the item exists against,LOW
p nun nokia system device has stopped sending events offense generation,MEDIUM
upload max strike rate file,MEDIUM
nsn intra network account alcatel lucent active directory status unknown,MEDIUM
missing latest file in emea nsn net net iam data delivery prod,LOW
p nun nokia x force premium internal connection to host categorized as botnet cnc,MEDIUM
bpms stuck on kam approval step,MEDIUM
it corner concierge,LOW
it corner concierge,LOW
xrdp problems on emea nsn net net,LOW
fin issue with sap,LOW
cannot start desktop,MEDIUM
please provide below role to user,CRITICAL
unable to login to orion,MEDIUM
it corner concierge,LOW
installation request for remote user,LOW
i am unable to log in to vpn using rsa token please help,LOW
amer pfizer com cpqclusternetwork intel,HIGH
running web version of bwp bw scf query gives error messages report disappears,LOW
unable to call out from gnoc acd phones to nz landline numbers,MEDIUM
it corner concierge,LOW
cisco any connect error message certificate validation failure,LOW
anyconnect vpn issues after windows upgrade,LOW
p nun nokia system device has stopped sending events offense generation,MEDIUM
unable to access living well otsuka url,MEDIUM
mk roles in,MEDIUM
jabber phone services the audio call on jabber are not activated,MEDIUM
can t open up powerpoint,MEDIUM
issue with expenses on expense report,MEDIUM
p nun nokia x force premium internal host communication with malware url,MEDIUM
request incomplete fulfillment of service request,LOW
double interface po edi indomaret in sap,LOW
myerm looped back to login page,LOW
svn access forbidden,LOW
nokiameetings webex recording from bei jing time on wasn t sent,MEDIUM
cares account re activation,LOW
update adria users in dam enis tea,MEDIUM
unable to connect to sql server,MEDIUM
webex recording not available,LOW
activate inv for alausa,MEDIUM
can not login,LOW
enh bi reporting on forecast accuracy bias,LOW
p nun nokia recon local dns scanner,MEDIUM
software fmo c drive is almost full,MEDIUM
ng license request,MEDIUM
it corner concierge,LOW
user lauren price dxc com sso error unable to login partner support portal,LOW
designzone mentor not accesible anymore,MEDIUM
it corner concierge,LOW
unable to connect to mgate,MEDIUM
stp sprint waiting for sap processing pm,LOW
it please reassign sap roles for user,MEDIUM
phone service in jabber seems to be non functional for a large number of users,HIGH
please delete users from servers,MEDIUM
request incomplete fulfillment of service request,LOW
saplogon not launching,LOW
pl access request,MEDIUM
p nun nokia multiple failed login attempts with not existing privileged account,MEDIUM
management dashboard head,MEDIUM
hardware keyboard is not working,MEDIUM
please assign g csc mac internet access to nikos kalaitzidakis,CRITICAL
external nf number series is wrong,LOW
issue for fnjira production work flow distrubed we dont know where are all impacted,LOW
pfizer com down solaris zone,LOW
latency issue in sap,HIGH
workgroup admin access request create and modify of cts productsupport at cares remedy,LOW
ch replication issue,CRITICAL
share to teams not working,LOW
re outlook question,MEDIUM
cz sap access created on behalf of,MEDIUM
p nun nokia malicious file on server carbon,MEDIUM
user mihail tihomirov has a blocked camera icon when calling teams he cannot turn it on,MEDIUM
software fmo user asking for oss assistance for windows installation,LOW
account disabled due to lack of network activity,MEDIUM
vpn remote access certificate validation failure,LOW
scbp application requests,LOW
repermission the home directories for user nowlaw,MEDIUM
pronto issue cannot save pr fa,HIGH
sap logon pad,LOW
it corner concierge,LOW
please remove affiliation for dr wade exum,MEDIUM
ch edi invoice test,MEDIUM
nokia ff support fra processing delivery confirmation,LOW
hardware fan or overheating concerns,LOW
create online archive for anastasiya baulina cchellenic com,MEDIUM
cares account reactivation request,LOW
rs related to,MEDIUM
to upgrade unable to login to old windows laptop,LOW
cz fa reset,CRITICAL
office wlan wifi connectivity,HIGH
it corner concierge,LOW
issue with slow connection on hvd,LOW
hyper v error,LOW
takeshi tsunoda otsuka us com japanese version re workday access takeshi tsunoda,MEDIUM
jabber phone services unable to use phone service,LOW
onedrive cant modify data on the file edf rssa,LOW
supplier needed in i buy,LOW
not able to access http de alcatel lucent com names nsf login firewall portal,MEDIUM
wrong synchronisation between pdm and gpma,LOW
pl add access to user,MEDIUM
secondary account missing privilages,LOW
eg software center software not available,LOW
it corner concierge,LOW
nokiameetings not possible to set enough high volume in webex application,LOW
unable to login to veeva,MEDIUM
incident available app add ins for microsoft teams planning productivity mindmaps collaboration,LOW
outbound invoice idocs output zsmm do not get processed in eai,MEDIUM
unable to access citrix,MEDIUM
email mobile email,LOW
hardware laptop charger faulty,LOW
gr toqrue report,MEDIUM
it corner concierge,LOW
urgent remove and add cw pms,MEDIUM
it corner concierge,LOW
p nun nokia botnet successful inbound connection from a known botnet candc,MEDIUM
remove unix access for unix id bhadod,HIGH
prj commercial policy tool in snow,CRITICAL
cannot log onto sap in citrix,LOW
gr request for access,MEDIUM
webex button in outlook went missing,LOW
it corner concierge,LOW
atlas srm nokia ff support fw projeto po não abre no atlas two wos are stuck in processing po creation due to some missing messages,LOW
teams assisted with start of north america europe cns globalization therapeutic breakout abilify maintena meeting,MEDIUM
business role correction elena ovsyannikova,MEDIUM
pc hardware display screen concerns,LOW
sa microsoft activation request,LOW
sap log on pad not responding,LOW
nokia meetings cannot join the webex meeting in outlook,LOW
it corner concierge,LOW
no transmission between espares to livingston s tradesphere system,HIGH
reset elearn password,MEDIUM
unable to jump,CRITICAL
user aristeed alticeusa com getting error – repeating password issue,LOW
trouble with laptop,LOW
cisco anyconnect certificate validation failure,LOW
ru ap configure,MEDIUM
inco term difference between cdb update the incoterms in,LOW
software fmo user needs oss assistance to re image user s laptop,LOW
gr set default approvers by thresholds spend category,CRITICAL
software fmo automatic repair your pc did not start correctly,LOW
onedrive error message,MEDIUM
hardware laptop s touchpad is not working,MEDIUM
case handling entilement is not visible,LOW
cannot open doors,MEDIUM
emea pfizer com cpqsmselftesterror intel,LOW
cy spi modes,MEDIUM
assign to comm atlas ingenius update lcc status to on hold,MEDIUM
not able to login to concur,LOW
cannot open email cannot start outlook,MEDIUM
it corner concierge,LOW
onedrive sync issues,MEDIUM
installation microsoft studio,LOW
os installation issue,LOW
tool to recalculate due date targets on pending tickets stopped working on april,MEDIUM
jabber how to add external contacts to your list video,LOW
java instalation assistance canceled,LOW
jabber chats can t be saved to outlook,LOW
power bi license request,LOW
p nun nokia recon excessive firewall denies from local host,MEDIUM
it corner concierge,LOW
pfizer com process the statd process has stopped escalate asap guest ldom,HIGH
apac pfizer com cpqsmselftesterror intel,HIGH
unable to send skype meeting from my outlook,MEDIUM
import the files in table synchro,LOW
issue oss windows image installation,LOW
hosted virtual desktop office client stuck in installing status in software center,LOW
lost privilege access in the lsf queue after migration from external to internal,LOW
please advise why i am not able to access quality center,LOW
unable to connect with hotspot,MEDIUM
intune company portal installation on new replacement company iphone,MEDIUM
it corner concierge,LOW
the planner service is unavailable,MEDIUM
support portal anders mielonen tac maintrac se issue,LOW
clear the dumpster of the mailbox,CRITICAL
need password for success factors,MEDIUM
ads is not working,HIGH
fw elearn issue general privacy training online course,MEDIUM
dont have access to http de alcatel lucent com cfo it requests nsf,LOW
veeva sandbox information,MEDIUM
mozilla firefox is not working,LOW
jabber phone services phone service not working,LOW
it corner concierge,LOW
request for your attention to convert corporate connection to personal connection,LOW
pt nols unable to access,LOW
unable to access any sso based applications,MEDIUM
bharti wbs code is not added into the lawson profile for time tracking,LOW
external promo tool,MEDIUM
p nun nokia security risk found on host,MEDIUM
insite portal access,MEDIUM
sap gui unable to launch bwp,LOW
jabber phone services not connected,LOW
office outlook not able to delete folder,LOW
it corner concierge,LOW
active directory and citrix,MEDIUM
jabber phone services are not enabled,LOW
jabber invalid credentials for phone service,MEDIUM
re priority has been assigned to you user account form approved aihara miki otsuka jp aihara miki grams credo,MEDIUM
cisco anyconnect certificate validation failure,MEDIUM
